X,DATE,EXERCISE,CATEGORY,WEIGHT,REPS,SET_NUM,SOURCE,BIG_FOUR,VOLUME,IMPLEMENT,ASSISTED,MOVEMENT
1598,2015-01-17,Overhead Press,Shoulders,50.0,3.0,2,FitNotes,Overhead Press,150.0,NA,FALSE,Push
1599,2015-01-17,Chin Up,Back,0.0,6.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
1600,2015-01-17,Pull Up,Back,0.0,1.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
1601,2015-01-17,Distanced One-Arm Rope Triceps Pushdown,Triceps,15.0,10.0,1,FitNotes,Other,150.0,NA,FALSE,Push
1602,2015-01-17,Distanced One-Arm Rope Triceps Pushdown,Triceps,17.5,12.0,2,FitNotes,Other,210.0,NA,FALSE,Push
1603,2015-01-17,Cable Rope Triceps Pushdown,Triceps,30.0,15.0,1,FitNotes,Other,450.0,Cable,FALSE,Push
1604,2015-01-17,Cable Rope Triceps Pushdown,Triceps,45.0,6.0,2,FitNotes,Other,270.0,Cable,FALSE,Push
1605,2015-01-17,One-Arm Lat Pulldown,Back,20.0,10.0,1,FitNotes,Other,200.0,NA,FALSE,Pull
1606,2015-01-17,One-Arm Lat Pulldown,Back,25.0,10.0,2,FitNotes,Other,250.0,NA,FALSE,Pull
1607,2015-01-17,Standing One-Arm Cable Row,Back,15.0,10.0,1,FitNotes,Other,150.0,Cable,FALSE,Pull
1608,2015-01-17,Standing One-Arm Cable Row,Back,20.0,10.0,2,FitNotes,Other,200.0,Cable,FALSE,Pull
1609,2015-01-17,One-Arm Cable Front Raise,Shoulders,7.5,10.0,1,FitNotes,Other,75.0,Cable,FALSE,Pull
1610,2015-01-17,One-Arm Cable Lateral Raise,Shoulders,5.0,10.0,1,FitNotes,Other,50.0,Cable,FALSE,Pull
1611,2015-01-17,One-Arm Cable Rear Delt Raise,Shoulders,5.0,10.0,1,FitNotes,Other,50.0,Cable,FALSE,Pull
1612,2015-01-17,One-Arm Cable Curl,Biceps,10.0,10.0,1,FitNotes,Other,100.0,Cable,FALSE,NA
1613,2015-01-17,One-Arm Cable Curl,Biceps,12.5,10.0,2,FitNotes,Other,125.0,Cable,FALSE,NA
1614,2015-01-17,One-Arm Cable Curl,Biceps,15.0,10.0,3,FitNotes,Other,150.0,Cable,FALSE,NA
1615,2015-01-17,Pull Up,Back,0.0,3.0,2,FitNotes,Other,0.0,NA,FALSE,Pull
1616,2015-01-19,Pull Up,Back,0.0,8.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
1617,2015-01-19,Overhead Press,Shoulders,40.0,10.0,1,FitNotes,Overhead Press,400.0,NA,FALSE,Push
1618,2015-01-19,Overhead Press,Shoulders,60.0,3.0,2,FitNotes,Overhead Press,180.0,NA,FALSE,Push
1619,2015-01-19,Overhead Press,Shoulders,45.0,8.0,3,FitNotes,Overhead Press,360.0,NA,FALSE,Push
1620,2015-01-19,Pull Up,Back,0.0,5.0,2,FitNotes,Other,0.0,NA,FALSE,Pull
1621,2015-01-19,Pull Up,Back,0.0,3.0,3,FitNotes,Other,0.0,NA,FALSE,Pull
