"","DATE","EXERCISE","CATEGORY","WEIGHT","REPS","SET_NUM","SOURCE"
"303",2014-09-02,"One-Arm Cable Curl","Biceps","10.0","15",1,"FitNotes"
"304",2014-09-02,"One-Arm Cable Curl","Biceps","10.0","15",2,"FitNotes"
"305",2014-09-02,"One-Arm Cable Curl","Biceps","10.0","15",3,"FitNotes"
"306",2014-09-02,"Cable Overhead Triceps Extension","Triceps","15.0","10",1,"FitNotes"
"307",2014-09-02,"Cable Overhead Triceps Extension","Triceps","20.0","10",2,"FitNotes"
"308",2014-09-02,"Cable Overhead Triceps Extension","Triceps","25.0","10",3,"FitNotes"
"309",2014-09-02,"High Cable Curl","Biceps","7.5","15",1,"FitNotes"
"310",2014-09-02,"High Cable Curl","Biceps","10.0","15",2,"FitNotes"
"311",2014-09-02,"High Cable Curl","Biceps","10.0","15",3,"FitNotes"
"312",2014-09-02,"Cable Overhead Triceps Extension","Triceps","7.5","20",4,"FitNotes"
"313",2014-09-02,"Cable Overhead Triceps Extension","Triceps","12.5","20",5,"FitNotes"
"314",2014-09-02,"Cable Overhead Triceps Extension","Triceps","12.5","20",6,"FitNotes"
"315",2014-09-02,"One-Arm Rope Triceps Pushdown","Triceps","7.5","20",1,"FitNotes"
"316",2014-09-02,"One-Arm Rope Triceps Pushdown","Triceps","10.0","20",2,"FitNotes"
"317",2014-09-02,"One-Arm Rope Triceps Pushdown","Triceps","12.5","20",3,"FitNotes"
"318",2014-09-02,"Dumbbell Hammer Curl","Biceps","6.0","15",1,"FitNotes"
"319",2014-09-02,"Dumbbell Hammer Curl","Biceps","7.0","10",2,"FitNotes"
"320",2014-09-02,"Dumbbell Hammer Curl","Biceps","7.0","10",3,"FitNotes"
"321",2014-09-02,"Smith Machine Close Grip Bench Press","Triceps","20.0","5",1,"FitNotes"
"322",2014-09-02,"Smith Machine Close Grip Bench Press","Triceps","20.0","5",2,"FitNotes"
"323",2014-09-03,"Barbell Squat","Legs","60.0","3",1,"FitNotes"
"324",2014-09-03,"Barbell Squat","Legs","70.0","5",2,"FitNotes"
"325",2014-09-03,"Barbell Squat","Legs","80.0","5",3,"FitNotes"
"326",2014-09-03,"Barbell Squat","Legs","95.0","5",4,"FitNotes"
"327",2014-09-03,"Barbell Squat","Legs","70.0","10",5,"FitNotes"
"328",2014-09-03,"Lying Leg Curl Machine","Legs","35.0","12",1,"FitNotes"
"329",2014-09-03,"Seated Calf Raise Machine","Legs","40.0","15",1,"FitNotes"
"330",2014-09-03,"Lying Leg Curl Machine","Legs","35.0","12",2,"FitNotes"
"331",2014-09-03,"Lying Leg Curl Machine","Legs","35.0","12",3,"FitNotes"
