"Date","Exercise","Category","Weight (kgs)","Reps","Distance","Distance Unit","Time"
2014-09-14,Deadlift,Back,100.0,3,,,
2014-09-14,Deadlift,Back,130.0,3,,,
2014-09-14,Deadlift,Back,150.0,2,,,
2014-09-14,Deadlift,Back,175.0,1,,,
2014-09-14,Flat Barbell Bench Press,Chest,20.0,5,,,
2014-09-14,Flat Barbell Bench Press,Chest,60.0,5,,,
2014-09-14,Flat Barbell Bench Press,Chest,65.0,5,,,
2014-09-14,Flat Barbell Bench Press,Chest,70.0,5,,,
2014-09-14,Flat Barbell Bench Press,Chest,72.5,5,,,
2014-09-14,Flat Barbell Bench Press,Chest,75.0,3,,,
2014-09-14,Flat Barbell Bench Press,Chest,60.0,10,,,
2014-09-14,Flat Barbell Bench Press,Chest,60.0,5,,,
2014-09-14,Rack Pull,Back,100.0,3,,,
2014-09-14,Rack Pull,Back,120.0,3,,,
2014-09-14,Rack Pull,Back,120.0,3,,,
2014-09-14,Rope Push Down,Triceps,30.0,10,,,
2014-09-14,Rope Push Down,Triceps,35.0,10,,,
2014-09-14,Rope Push Down,Triceps,40.0,10,,,
2014-09-14,Rope Push Down,Triceps,45.0,5,,,
2014-09-14,One-Arm Rope Triceps Pushdown,Triceps,15.0,10,,,
2014-09-14,One-Arm Rope Triceps Pushdown,Triceps,20.0,10,,,
2014-09-14,One-Arm Rope Triceps Pushdown,Triceps,20.0,8,,,
2014-09-14,Flat Dumbbell Fly,Chest,12.5,10,,,
2014-09-14,Flat Dumbbell Fly,Chest,12.5,10,,,
2014-09-14,Flat Dumbbell Fly,Chest,12.5,10,,,
2014-09-19,Push Press,Shoulders,40.0,5,,,
2014-09-19,Push Press,Shoulders,45.0,5,,,
2014-09-19,Push Press,Shoulders,50.0,5,,,
2014-09-19,Push Press,Shoulders,60.0,5,,,
2014-09-19,Push Press,Shoulders,62.5,3,,,
2014-09-19,Trap-Bar Deadlift,Back,100.0,3,,,
2014-09-19,Trap-Bar Deadlift,Back,140.0,3,,,
2014-09-19,Trap-Bar Deadlift,Back,160.0,5,,,
2014-09-19,Trap-Bar Deadlift,Back,180.0,2,,,
2014-09-19,Trap-Bar Deadlift,Back,190.0,1,,,
2014-09-19,Trap-Bar Deadlift,Back,202.5,1,,,
2014-09-19,One-Arm Rope Triceps Pushdown,Triceps,20.0,10,,,
2014-09-19,One-Arm Rope Triceps Pushdown,Triceps,25.0,8,,,
2014-09-19,Seated Cable Row,Back,45.0,10,,,
2014-09-19,Seated Cable Row,Back,50.0,10,,,
2014-09-19,Seated Cable Row,Back,55.0,10,,,
2014-09-19,Flat Dumbbell Fly,Chest,12.5,10,,,
2014-09-19,Flat Dumbbell Fly,Chest,15.0,5,,,
2014-09-19,Rope Push Down,Triceps,30.0,10,,,
2014-09-19,Rope Push Down,Triceps,45.0,10,,,
2014-09-19,Rope Push Down,Triceps,50.0,5,,,
2014-09-19,Cable Crossover,Chest,20.0,15,,,
2014-09-19,Cable Crossover,Chest,30.0,10,,,
2014-09-19,Barbell Squat,Legs,20.0,10,,,
2014-09-19,Barbell Squat,Legs,60.0,10,,,
2014-09-19,Barbell Squat,Legs,80.0,10,,,
2014-09-19,Barbell Squat,Legs,100.0,3,,,
2014-09-19,Barbell Squat,Legs,110.0,2,,,
2014-09-19,Dumbbell Curl,Biceps,12.5,10,,,
2014-09-19,Dumbbell Curl,Biceps,12.5,10,,,
